rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
14659.4	9754.37	0	1.#QNAN	0	0.016	0	1.21632e-011	14659.4	14659.4	4115.63
13952.5	9101.36	1	1.#QNAN	0	0.016	0	2.27235e-010	14482.6	13952.5	4115.63
13831	8886.99	2	1.#QNAN	0	0.015	0	2.99019e-010	14263.3	13831	4115.63
13777.3	8740.95	3	1.#QNAN	0	0.016	0	3.33609e-010	13993	13777.3	4115.63
13698.9	8668.06	4	1.#QNAN	0	0.015	0	3.49112e-010	13787.9	13698.9	32670.1
13643.9	8609.84	5	1.#QNAN	0	0	0	3.98028e-010	13660.4	13643.9	13660.4
13593.9	8573.48	6	1.#QNAN	0	0.016	0	4.54487e-010	13568.3	13593.9	13515.7
13507	8516.37	7	1.#QNAN	0	0.016	0	5.26702e-010	13181	13507	13301.2
13401.9	8467.62	8	1.#QNAN	0	0.015	1	6.07199e-010	13039.6	13401.9	13143.1
13251.5	8376.15	9	1.#QNAN	0	0.016	0	7.37937e-010	12409.2	13251.5	12914.7
13071.8	8260.07	10	1.#QNAN	0	0.015	0	8.3783e-010	11944.9	13071.8	12669.1
12885.4	8149.46	11	1.#QNAN	0	0	0	9.67938e-010	11542.9	12885.4	12430.2
12698.5	8041.06	12	1.#QNAN	0	0	0	1.18048e-009	11360.4	12698.5	12207.8
12488.3	7910.24	13	1.#QNAN	0	0.016	0	1.32263e-009	10881.1	12488.3	11963.9
12271.7	7783.7	14	1.#QNAN	0	0.015	0	1.53518e-009	10530	12271.7	11721
12037	7644.61	15	1.#QNAN	0	0.016	0	1.78354e-009	10167.7	12037	11462.1
11829.2	7521.26	16	1.#QNAN	0	0.015	0	2.03827e-009	10061.7	11829.2	11244.7
11595.5	7386.61	17	1.#QNAN	0	0.016	0	2.22826e-009	9252.6	11595.5	10995
11359.5	7245.78	18	1.#QNAN	0	0.016	0	2.40581e-009	8940.94	11359.5	10745.4
