rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
4550.36	3059.35	0	1.#QNAN	0	0.032	0	1.40806e-009	4550.36	4550.36	4287.87
4254.74	2794.23	1	1.#QNAN	0	0.015	0	2.63785e-008	4235.37	4254.74	4287.87
4174.41	2746.63	2	1.#QNAN	0	0.016	0	3.61132e-008	4138.05	4174.41	4287.87
4080.28	2691.96	3	1.#QNAN	0	0.015	0	3.89868e-008	3876.59	4080.28	4287.87
3985.23	2637.86	4	1.#QNAN	0	0.016	0	4.20875e-008	3674.77	3985.23	37538.7
3903.94	2596.51	5	1.#QNAN	0	0.031	0	4.9627e-008	3560.26	3903.94	3560.26
3821.51	2554.11	6	1.#QNAN	0	0.016	0	5.54208e-008	3382.79	3821.51	3457.85
3739.28	2511.7	7	1.#QNAN	0	0.015	0	6.11233e-008	3224.84	3739.28	3370.74
3659.3	2467.97	8	1.#QNAN	0	0.016	0	7.20204e-008	3106.03	3659.3	3290.74
3579.24	2425.03	9	1.#QNAN	0	0.016	0	8.07587e-008	2968.11	3579.24	3216.41
3495.84	2379.35	10	1.#QNAN	0	0.031	0	8.86249e-008	2795.43	3495.84	3133.84
3410.87	2331.94	11	1.#QNAN	0	0.015	0	1.0072e-007	2671.17	3410.87	3052.07
3333.94	2287.85	12	1.#QNAN	0	0.016	0	1.12494e-007	2591.1	3333.94	2982.85
3257.59	2245.43	13	1.#QNAN	0	0.016	0	1.3221e-007	2493.14	3257.59	2914.5
3183.84	2203.93	14	1.#QNAN	0	0.031	0	1.40228e-007	2419.61	3183.84	2849.37
3118.12	2166.19	15	1.#QNAN	0	0.015	0	1.60144e-007	2385.57	3118.12	2794.16
3051.9	2127.21	16	1.#QNAN	0	0.016	0	1.66422e-007	2279.95	3051.9	2737.56
2991.23	2090.84	17	1.#QNAN	0	0.016	0	1.81079e-007	2277.79	2991.23	2687.74
2936.47	2056.49	18	1.#QNAN	0	0.015	0	2.02853e-007	2266.57	2936.47	2644.54
2880.4	2022.59	19	1.#QNAN	0	0.031	0	2.13797e-007	2161.03	2880.4	2598.48
2828.36	1989.92	20	1.#QNAN	0	0.016	0	2.28217e-007	2129.48	2828.36	2556.46
2779	1959.26	21	1.#QNAN	0	0.016	0	2.52626e-007	2119.57	2779	2517.23
2731.29	1929.61	22	1.#QNAN	0	0.015	0	2.57075e-007	2082.23	2731.29	2479.02
2686.38	1901.41	23	1.#QNAN	0	0.016	0	2.66417e-007	2036.76	2686.38	2443.14
2644.22	1873.88	24	1.#QNAN	0	0.031	0	2.95792e-007	2000.55	2644.22	2409.7
2603.99	1847.51	25	1.#QNAN	0	0.016	0	2.94985e-007	1977.23	2603.99	2377.84
2566	1822.18	26	1.#QNAN	0	0.015	0	3.12484e-007	1960.39	2566	2348.11
2529.14	1797.62	27	1.#QNAN	0	0.016	0	3.22363e-007	1921.97	2529.14	2319.06
2494.03	1773.95	28	1.#QNAN	0	0.015	0	3.35414e-007	1910.71	2494.03	2291.52
2460.86	1751.69	29	1.#QNAN	0	0.032	0	3.46447e-007	1897.79	2460.86	2265.58
2430.14	1730.66	30	1.#QNAN	0	0.015	0	3.54277e-007	1901.18	2430.14	2242.06
2400.17	1709.98	31	1.#QNAN	0	0.016	0	3.60504e-007	1881.28	2400.17	2218.92
2371.27	1690	32	1.#QNAN	0	0.015	0	3.6717e-007	1868.53	2371.27	2196.68
2344.53	1671.01	33	1.#QNAN	0	0.032	0	3.78486e-007	1875.53	2344.53	2176.41
2319.29	1653.27	34	1.#QNAN	0	0.015	0	3.8633e-007	1866.87	2319.29	2157.3
2295.51	1636.14	35	1.#QNAN	0	0.016	0	3.88746e-007	1832.8	2295.51	2139.41
2273.01	1620.09	36	1.#QNAN	0	0.015	0	3.93746e-007	1821.79	2273.01	2122.49
2252.01	1605.23	37	1.#QNAN	0	0.016	0	4.04902e-007	1864.4	2252.01	2106.84
2231.67	1590.37	38	1.#QNAN	0	0.031	0	4.13506e-007	1805.18	2231.67	2091.6
2211.78	1575.8	39	1.#QNAN	0	0.016	0	4.05185e-007	1808.34	2211.78	2076.63
2192.99	1561.7	40	1.#QNAN	0	0.015	1	4.17983e-007	1775.95	2192.99	2062.47
2175.3	1548.49	41	1.#QNAN	0	0.016	0	4.16654e-007	1761.88	2175.3	2049.09
2158.77	1535.87	42	1.#QNAN	0	0.016	0	4.16945e-007	1775.17	2158.77	2036.8
2143.29	1523.86	43	1.#QNAN	0	0.031	0	4.38694e-007	1779.67	2143.29	2025.44
2128.44	1512.42	44	1.#QNAN	0	0.015	0	4.38542e-007	1780.6	2128.44	2014.58
2113.98	1500.88	45	1.#QNAN	0	0.016	0	4.46704e-007	1781.89	2113.98	2003.9
2100.13	1489.77	46	1.#QNAN	0	0.016	0	4.37982e-007	1761.86	2100.13	1993.69
2087	1479.19	47	1.#QNAN	0	0.015	0	4.47626e-007	1741.71	2087	1983.98
2074.29	1469.05	48	1.#QNAN	0	0.016	0	4.67381e-007	1738.56	2074.29	1974.55
2062.45	1459.48	49	1.#QNAN	0	0.016	0	4.78315e-007	1739.4	2062.45	1965.83
2050.45	1449.81	50	1.#QNAN	0	0.016	0	4.72665e-007	1740.68	2050.45	1956.88
2039.43	1440.85	51	1.#QNAN	0	0.015	0	4.7247e-007	1739.97	2039.43	1948.79
2028.37	1431.84	52	1.#QNAN	0	0.016	0	4.74911e-007	1705.08	2028.37	1940.44
2017.67	1423.11	53	1.#QNAN	0	0.015	0	4.93193e-007	1696.81	2017.67	1932.36
2007.7	1414.95	54	1.#QNAN	0	0.032	0	4.9975e-007	1708.48	2007.7	1924.9
1997.94	1406.85	55	1.#QNAN	0	0.015	0	5.035e-007	1704.75	1997.94	1917.61
1988.62	1398.98	56	1.#QNAN	0	0.016	0	4.91314e-007	1695.47	1988.62	1910.6
1979.46	1391.46	57	1.#QNAN	0	0.015	0	5.01619e-007	1717.02	1979.46	1903.7
1970.59	1384.16	58	1.#QNAN	0	0.016	0	4.81763e-007	1697.49	1970.59	1897.02
1962.1	1377.09	59	1.#QNAN	0	0.031	0	5.01152e-007	1682.64	1962.1	1890.56
1953.71	1369.91	60	1.#QNAN	0	0.016	0	5.16884e-007	1672.71	1953.71	1884.13
1945.89	1363.21	61	1.#QNAN	0	0.015	0	5.02119e-007	1685.24	1945.89	1878.14
1938.29	1356.64	62	1.#QNAN	0	0.016	0	5.36941e-007	1694.86	1938.29	1872.43
1930.8	1350.39	63	1.#QNAN	0	0.016	0	5.21568e-007	1672.38	1930.8	1866.65
1923.58	1344.33	64	1.#QNAN	0	0.031	0	5.23168e-007	1663.21	1923.58	1861.07
1916.24	1338.03	65	1.#QNAN	0	0.015	0	5.4377e-007	1664.67	1916.24	1855.31
1909.24	1332.12	66	1.#QNAN	0	0.016	0	5.42191e-007	1652.69	1909.24	1849.79
1902.22	1326.16	67	1.#QNAN	0	0.016	0	5.48674e-007	1625.46	1902.22	1844.15
1895.82	1320.61	68	1.#QNAN	0	0.015	0	5.39687e-007	1653.47	1895.82	1839.07
1889.42	1315.21	69	1.#QNAN	0	0.031	0	5.46232e-007	1631.59	1889.42	1833.99
1883.27	1309.92	70	1.#QNAN	0	0.016	0	5.40888e-007	1643.17	1883.27	1829.13
1877.27	1304.83	71	1.#QNAN	0	0.016	0	5.6577e-007	1643.48	1877.27	1824.37
1871.65	1299.94	72	1.#QNAN	0	0.015	0	5.54779e-007	1662.21	1871.65	1819.99
1866.2	1295.23	73	1.#QNAN	0	0.016	0	5.70164e-007	1641.48	1866.2	1815.64
1860.95	1290.69	74	1.#QNAN	0	0.031	0	5.64537e-007	1649.29	1860.95	1811.48
1855.56	1286.04	75	1.#QNAN	0	0.016	0	5.85105e-007	1621.96	1855.56	1807.17
1850.33	1281.51	76	1.#QNAN	0	0.015	0	5.6061e-007	1613.07	1850.33	1802.96
1845.02	1277.03	77	1.#QNAN	0	0.016	0	5.6896e-007	1607.13	1845.02	1798.61
1839.82	1272.49	78	1.#QNAN	0	0.015	0	5.68733e-007	1602.05	1839.82	1794.39
1834.45	1268.02	79	1.#QNAN	0	0.032	0	5.60448e-007	1596.11	1834.45	1789.92
1829.17	1263.56	80	1.#QNAN	0	0.015	0	5.72309e-007	1588.77	1829.17	1785.56
1824.07	1259.21	81	1.#QNAN	0	0.016	0	5.87195e-007	1587.83	1824.07	1781.33
