rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
2342.6	1734.94	0	1.#QNAN	0	0.016	0	8.19212e-009	2342.6	2342.6	3880.47
2201.66	1621.47	1	1.#QNAN	0	0	0	1.42406e-007	2187.26	2201.66	3880.47
2157.05	1583.06	2	1.#QNAN	0	0.016	0	1.87107e-007	2122.16	2157.05	3880.47
2126	1557.22	3	1.#QNAN	0	0.015	0	1.9432e-007	2073.89	2126	3880.47
2096.96	1533.63	4	1.#QNAN	0	0	0	2.05662e-007	2022.45	2096.96	37687.6
2069.4	1511.96	5	1.#QNAN	0	0.016	0	2.21722e-007	1959.75	2069.4	1959.75
2044.51	1492.93	6	1.#QNAN	0	0	0	2.37962e-007	1930.64	2044.51	1935.49
2019.16	1475.02	7	1.#QNAN	0	0.015	0	2.53995e-007	1873.54	2019.16	1908.3
1995.38	1457.75	8	1.#QNAN	0	0.016	0	2.67858e-007	1829	1995.38	1884.52
1971.35	1439.21	9	1.#QNAN	0	0	0	2.84018e-007	1783.73	1971.35	1861.28
1948.66	1422.7	10	1.#QNAN	0	0.016	0	2.95692e-007	1756.79	1948.66	1840.62
1926.57	1405.83	11	1.#QNAN	0	0	0	3.17302e-007	1718.78	1926.57	1820.54
1905.16	1389.4	12	1.#QNAN	0	0.015	0	3.16891e-007	1683.32	1905.16	1800.98
1885.36	1373.26	13	1.#QNAN	0	0.016	1	3.44523e-007	1671.08	1885.36	1784.03
1867.8	1359.62	14	1.#QNAN	0	0	0	3.65061e-007	1668.36	1867.8	1769.72
1849.1	1345.22	15	1.#QNAN	0	0.015	0	3.75637e-007	1616.51	1849.1	1753.31
1831.01	1330.67	16	1.#QNAN	0	0	0	4.05047e-007	1594.46	1831.01	1737.64
1812.85	1316.72	17	1.#QNAN	0	0.016	0	4.02762e-007	1561.25	1812.85	1721.36
1794.2	1301.95	18	1.#QNAN	0	0.016	0	4.12516e-007	1520.93	1794.2	1704.42
1776.87	1287.73	19	1.#QNAN	0	0	0	4.42755e-007	1510.65	1776.87	1689.02
1759.33	1272.95	20	1.#QNAN	0	0.015	0	4.43378e-007	1477.9	1759.33	1673.08
1742.51	1258.94	21	1.#QNAN	0	0	0	4.52759e-007	1458.23	1742.51	1657.86
1726.06	1245.23	22	1.#QNAN	0	0.016	0	4.62119e-007	1438.45	1726.06	1642.96
1710.67	1232.26	23	1.#QNAN	0	0.015	0	4.83848e-007	1441.16	1710.67	1629.36
1696.58	1220.52	24	1.#QNAN	0	0	0	4.83277e-007	1447.25	1696.58	1617.3
1681.92	1207.93	25	1.#QNAN	0	0.016	0	5.07268e-007	1404.27	1681.92	1604.33
1667.66	1195.82	26	1.#QNAN	0	0	0	5.09262e-007	1384.47	1667.66	1591.63
1654.79	1184.67	27	1.#QNAN	0	0.016	0	4.86495e-007	1403.71	1654.79	1580.65
1642.15	1173.66	28	1.#QNAN	0	0.015	0	5.19364e-007	1387.9	1642.15	1569.78
1629.42	1162.53	29	1.#QNAN	0	0	0	5.15455e-007	1359.47	1629.42	1558.67
1618.15	1152.11	30	1.#QNAN	0	0.016	0	5.26209e-007	1383.56	1618.15	1549.21
1606.74	1142.16	31	1.#QNAN	0	0	0	5.26624e-007	1360.45	1606.74	1539.47
1595.56	1132.35	32	1.#QNAN	0	0.015	0	5.18375e-007	1347.55	1595.56	1529.86
1584.77	1122.69	33	1.#QNAN	0	0.016	0	5.19796e-007	1346.24	1584.77	1520.67
1574.44	1113.43	34	1.#QNAN	0	0	0	5.18705e-007	1336.67	1574.44	1511.86
1564.58	1104.69	35	1.#QNAN	0	0.016	0	5.30614e-007	1328.84	1564.58	1503.5
1555.55	1096.54	36	1.#QNAN	0	0	0	5.39477e-007	1343.36	1555.55	1496.04
1546.49	1088.41	37	1.#QNAN	0	0.015	0	5.36464e-007	1330.24	1546.49	1488.42
1537.42	1080.36	38	1.#QNAN	0	0.016	0	5.24787e-007	1313.07	1537.42	1480.65
1529.36	1073.05	39	1.#QNAN	0	0	0	5.31224e-007	1332.32	1529.36	1474.03
1521.99	1066.04	40	1.#QNAN	0	0.015	0	5.60773e-007	1345.45	1521.99	1468.1
1513.91	1058.93	41	1.#QNAN	0	0	0	5.38681e-007	1300.74	1513.91	1461.32
1506.27	1052.31	42	1.#QNAN	0	0.016	0	5.4475e-007	1307.97	1506.27	1454.96
1498.79	1045.61	43	1.#QNAN	0	0.016	0	5.7099e-007	1296.77	1498.79	1448.68
1491.67	1039.28	44	1.#QNAN	0	0	0	5.81384e-007	1305.97	1491.67	1442.77
1484.9	1033.14	45	1.#QNAN	0	0.015	0	5.46393e-007	1299.31	1484.9	1437.19
1478.77	1027.52	46	1.#QNAN	0	0	0	5.63832e-007	1314.24	1478.77	1432.25
1473.08	1022.23	47	1.#QNAN	0	0.016	0	5.61578e-007	1329.78	1473.08	1427.76
1467.42	1017.21	48	1.#QNAN	0	0.015	0	5.55341e-007	1308.99	1467.42	1423.21
1462.1	1012.3	49	1.#QNAN	0	0	0	5.56497e-007	1315.69	1462.1	1418.97
1457.05	1007.54	50	1.#QNAN	0	0.016	0	5.73534e-007	1302.45	1457.05	1414.94
1452.03	1002.98	51	1.#QNAN	0	0	0	5.74233e-007	1288.6	1452.03	1410.87
1447.79	998.924	52	1.#QNAN	0	0.016	0	5.59898e-007	1321.88	1447.79	1407.63
1443.4	994.755	53	1.#QNAN	0	0.015	0	5.75216e-007	1302.34	1443.4	1404.15
1439.02	990.813	54	1.#QNAN	0	0	0	5.54799e-007	1303.59	1439.02	1400.66
1435.04	987.042	55	1.#QNAN	0	0.016	0	5.74432e-007	1307.65	1435.04	1397.56
1430.8	983.134	56	1.#QNAN	0	0.015	0	5.54153e-007	1293.31	1430.8	1394.13
1426.71	979.403	57	1.#QNAN	0	0	0	5.75357e-007	1296.05	1426.71	1390.84
1422.34	975.619	58	1.#QNAN	0	0.016	0	6.03655e-007	1282.11	1422.34	1387.19
1418.25	971.965	59	1.#QNAN	0	0	0	5.99562e-007	1326.15	1418.25	1383.83
1414.12	968.307	60	1.#QNAN	0	0.016	0	5.98101e-007	1329.89	1414.12	1380.39
1410.15	964.623	61	1.#QNAN	0	0.015	0	6.25283e-007	1341.05	1410.15	1377.13
1406.34	961.002	62	1.#QNAN	0	0	0	6.43751e-007	1348.4	1406.34	1374.01
1402.25	957.435	63	1.#QNAN	0	0.016	0	6.61335e-007	1320.44	1402.25	1370.54
1398.07	953.898	64	1.#QNAN	0	0	0	6.38601e-007	1309.08	1398.07	1366.96
1394.18	950.567	65	1.#QNAN	0	0.015	0	6.5797e-007	1307.86	1394.18	1363.66
1390.4	947.334	66	1.#QNAN	0	0.016	0	6.65858e-007	1311	1390.4	1360.47
1386.73	944.259	67	1.#QNAN	0	0	0	6.64557e-007	1320.03	1386.73	1357.36
1382.86	941.095	68	1.#QNAN	0	0.016	0	6.24512e-007	1310.23	1382.86	1354.01
1379.22	938.066	69	1.#QNAN	0	0	0	6.37588e-007	1315.62	1379.22	1350.9
1375.88	935.279	70	1.#QNAN	0	0.015	0	6.6535e-007	1343.74	1375.88	1348.1
1372.99	932.726	71	1.#QNAN	0	0.016	0	6.54011e-007	1375.52	1372.99	1345.77
1369.62	929.912	72	1.#QNAN	0	0	0	6.76107e-007	1331.98	1369.62	1342.89
1366.85	927.386	73	1.#QNAN	0	0.015	0	6.78735e-007	1364.19	1366.85	1340.65
1364.14	924.911	74	1.#QNAN	0	0	0	6.98951e-007	1344.38	1364.14	1338.43
1361.83	922.613	75	1.#QNAN	0	0.016	0	6.52562e-007	1373.36	1361.83	1336.64
1359.61	920.45	76	1.#QNAN	0	0.016	0	6.80061e-007	1373.91	1359.61	1334.94
1357.39	918.384	77	1.#QNAN	0	0	0	6.69794e-007	1401.42	1357.39	1333.23
1354.94	916.068	78	1.#QNAN	0	0.015	0	6.72794e-007	1345.32	1354.94	1331.24
1352.41	913.667	79	1.#QNAN	0	0	0	6.37425e-007	1329.65	1352.41	1329.17
1350.09	911.498	80	1.#QNAN	0	0.016	0	7.00208e-007	1328.61	1350.09	1327.3
