rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
6478.6	3938.01	0	1.#QNAN	0	0.016	0	5.53473e-010	6478.6	6478.6	3880.47
6051.14	3609.83	1	1.#QNAN	0	0	0	1.07878e-008	5930.22	6051.14	3880.47
5954.34	3566.49	2	1.#QNAN	0	0	0	1.39214e-008	5883.45	5954.34	3880.47
5836.34	3507.78	3	1.#QNAN	0	0	0	1.51618e-008	5546.99	5836.34	3880.47
5717.95	3445.89	4	1.#QNAN	0	0.016	0	1.69951e-008	5324.09	5717.95	37687.6
5622.92	3400.25	5	1.#QNAN	0	0	0	1.83993e-008	5203.83	5622.92	5203.83
5526.74	3353.18	6	1.#QNAN	0	0	0	2.1014e-008	5004.82	5526.74	5083.09
5446.38	3313.91	7	1.#QNAN	0	0.015	0	2.22046e-008	4951.1	5446.38	5019.51
5352.99	3266.39	8	1.#QNAN	0	0	0	2.51603e-008	4681.49	5352.99	4921.81
5265.69	3223.22	9	1.#QNAN	0	0	0	2.74451e-008	4549.79	5265.69	4837.48
5178.19	3178.8	10	1.#QNAN	0	0.016	0	3.10762e-008	4360.86	5178.19	4752.33
5102.57	3142.61	11	1.#QNAN	0	0	0	3.23474e-008	4375.59	5102.57	4687.28
5035.78	3108.9	12	1.#QNAN	0	0	0	3.49827e-008	4338.59	5035.78	4632.53
4956.76	3071.73	13	1.#QNAN	0	0	0	3.97932e-008	4039.43	4956.76	4556.36
4869.74	3029.53	14	1.#QNAN	0	0.015	0	4.58532e-008	3784.89	4869.74	4468.9
4770.2	2979.79	15	1.#QNAN	0	0	0	5.22171e-008	3456.64	4770.2	4363.18
4665.54	2927.59	16	1.#QNAN	0	0.016	0	5.88702e-008	3232.93	4665.54	4251.96
4558.82	2873.71	17	1.#QNAN	0	0	0	7.17755e-008	3008.68	4558.82	4139.52
4454.48	2820.74	18	1.#QNAN	0	0	0	8.18313e-008	2895.87	4454.48	4031.96
4351.14	2767.25	19	1.#QNAN	0	0.016	0	9.018e-008	2773.74	4351.14	3926.77
4244.93	2712.25	20	1.#QNAN	0	0	0	9.71776e-008	2596.42	4244.93	3818.92
4143.45	2659	21	1.#QNAN	0	0	0	1.08756e-007	2517.25	4143.45	3717.53
4045.13	2606.89	22	1.#QNAN	0	0.015	0	1.20651e-007	2480.81	4045.13	3620.86
3948.87	2554.86	23	1.#QNAN	0	0	0	1.29597e-007	2409.57	3948.87	3527.25
3858.76	2505.91	24	1.#QNAN	0	0	0	1.34628e-007	2358.06	3858.76	3441.3
3770.44	2458.12	25	1.#QNAN	0	0.016	0	1.36109e-007	2267.42	3770.44	3357.56
3685.7	2411.2	26	1.#QNAN	0	0	0	1.56785e-007	2231.2	3685.7	3278.24
3604.18	2365.83	27	1.#QNAN	0	0	0	1.60657e-007	2194.4	3604.18	3202.76
3526.81	2321.98	28	1.#QNAN	0	0	0	1.67775e-007	2161.47	3526.81	3131.94
3452.01	2279.68	29	1.#QNAN	0	0.015	0	1.76751e-007	2098.99	3452.01	3063.87
3380.2	2239.01	30	1.#QNAN	0	0	0	1.83452e-007	2057.2	3380.2	2999.05
3312.85	2200.68	31	1.#QNAN	0	0	0	1.93125e-007	2033.87	3312.85	2939.1
3248.26	2163.55	32	1.#QNAN	0	0.016	0	1.98563e-007	1999.85	3248.26	2881.93
3185.99	2127.45	33	1.#QNAN	0	0	0	2.05825e-007	2003.57	3185.99	2827.15
3127.39	2093.38	34	1.#QNAN	0	0	0	2.17669e-007	1977.21	3127.39	2776.33
3072.24	2061.52	35	1.#QNAN	0	0.016	0	2.25562e-007	1943.25	3072.24	2728.91
3019.85	2031.16	36	1.#QNAN	0	0	0	2.39065e-007	1933.5	3019.85	2684.25
2970.67	2002.46	37	1.#QNAN	0	0	0	2.42627e-007	1936.25	2970.67	2642.97
2923.08	1974.64	38	1.#QNAN	0	0.015	0	2.44485e-007	1867.85	2923.08	2602.93
2877.03	1948.05	39	1.#QNAN	0	0	0	2.59157e-007	1880.79	2877.03	2564.41
2834.23	1922.91	40	1.#QNAN	0	0	0	2.66212e-007	1873.07	2834.23	2529
2793.39	1898.84	41	1.#QNAN	0	0.016	0	2.69076e-007	1883.59	2793.39	2495.62
2754.42	1876.09	42	1.#QNAN	0	0	0	2.76902e-007	1834.39	2754.42	2463.75
2716.69	1853.93	43	1.#QNAN	0	0	0	2.77325e-007	1810.03	2716.69	2432.92
2681.18	1833	44	1.#QNAN	0	0.015	0	2.87602e-007	1827.31	2681.18	2404.31
2647.49	1813.1	45	1.#QNAN	0	0	0	2.98668e-007	1808.72	2647.49	2377.33
2615.09	1793.98	46	1.#QNAN	0	0	0	2.96967e-007	1804.54	2615.09	2351.55
2584.66	1776.05	47	1.#QNAN	0	0.016	0	3.10312e-007	1779.74	2584.66	2327.49
2555.56	1758.53	48	1.#QNAN	0	0	0	3.17218e-007	1766.16	2555.56	2304.51
2527.66	1741.65	49	1.#QNAN	0	0	0	3.26687e-007	1751.02	2527.66	2282.63
2500.83	1725.41	50	1.#QNAN	0	0.016	0	3.23045e-007	1738.15	2500.83	2261.64
2474.85	1709.48	51	1.#QNAN	0	0	0	3.41296e-007	1728.14	2474.85	2241.31
2449.4	1693.76	52	1.#QNAN	0	0	0	3.46874e-007	1736.79	2449.4	2221.44
2424.9	1678.68	53	1.#QNAN	0	0.015	0	3.55231e-007	1725.83	2424.9	2202.35
2401.54	1664.02	54	1.#QNAN	0	0	0	3.4497e-007	1693.9	2401.54	2184.11
2379.21	1649.92	55	1.#QNAN	0	0	0	3.58875e-007	1702.33	2379.21	2166.84
2357.93	1636.5	56	1.#QNAN	0	0.016	0	3.69724e-007	1699.35	2357.93	2150.47
2337.15	1623.23	57	1.#QNAN	0	0	0	3.56283e-007	1681.27	2337.15	2134.42
2316.72	1610.18	58	1.#QNAN	0	0	0	3.69668e-007	1650.17	2316.72	2118.53
2297.36	1597.48	59	1.#QNAN	0	0.015	1	3.75278e-007	1669.05	2297.36	2103.62
2278.29	1585.14	60	1.#QNAN	0	0	0	3.91028e-007	1639.13	2278.29	2088.84
2260.27	1573.55	61	1.#QNAN	0	0	0	4.04803e-007	1661.92	2260.27	2075.08
2242.7	1562.17	62	1.#QNAN	0	0.016	0	3.99688e-007	1626.07	2242.7	2061.53
2225.79	1551.15	63	1.#QNAN	0	0	0	3.9805e-007	1607.74	2225.79	2048.46
2209.41	1540.53	64	1.#QNAN	0	0	0	4.17942e-007	1609.95	2209.41	2035.81
2193.43	1530.11	65	1.#QNAN	0	0	0	4.15141e-007	1587.33	2193.43	2023.44
2177.91	1520.07	66	1.#QNAN	0	0.016	0	4.3677e-007	1585.81	2177.91	2011.41
2162.87	1510.32	67	1.#QNAN	0	0	0	4.12201e-007	1578.2	2162.87	1999.76
2148.36	1500.9	68	1.#QNAN	0	0	0	4.34782e-007	1559.73	2148.36	1988.48
2134.36	1491.72	69	1.#QNAN	0	0.015	0	4.40454e-007	1563.33	2134.36	1977.64
2120.85	1482.84	70	1.#QNAN	0	0	0	4.46345e-007	1558.74	2120.85	1967.24
2107.39	1473.9	71	1.#QNAN	0	0	0	4.54939e-007	1556.52	2107.39	1956.81
2094.23	1465.12	72	1.#QNAN	0	0.016	0	4.64641e-007	1530.11	2094.23	1946.55
2081.49	1456.55	73	1.#QNAN	0	0	0	4.50932e-007	1526.24	2081.49	1936.62
2069.13	1448.16	74	1.#QNAN	0	0	0	4.61666e-007	1520.18	2069.13	1927
2057.08	1439.99	75	1.#QNAN	0	0.015	0	4.69614e-007	1493.62	2057.08	1917.51
2045.55	1432.05	76	1.#QNAN	0	0	0	4.57038e-007	1492.63	2045.55	1908.49
2034.16	1424.19	77	1.#QNAN	0	0	0	4.88295e-007	1497.73	2034.16	1899.58
2022.91	1416.41	78	1.#QNAN	0	0	0	4.76534e-007	1477.01	2022.91	1890.69
2012.09	1408.85	79	1.#QNAN	0	0.016	0	4.89169e-007	1481.27	2012.09	1882.16
2001.62	1401.59	80	1.#QNAN	0	0	0	4.85624e-007	1491.76	2001.62	1873.98
1991.17	1394.23	81	1.#QNAN	0	0	0	4.85995e-007	1473.93	1991.17	1865.72
1980.95	1386.97	82	1.#QNAN	0	0.016	0	5.04068e-007	1458.83	1980.95	1857.61
1970.85	1379.8	83	1.#QNAN	0	0	0	5.18457e-007	1437.45	1970.85	1849.56
1961.14	1372.85	84	1.#QNAN	0	0	0	4.99585e-007	1447.99	1961.14	1841.87
1951.75	1366.14	85	1.#QNAN	0	0.015	0	5.1001e-007	1444.06	1951.75	1834.43
1942.65	1359.54	86	1.#QNAN	0	0	0	4.84404e-007	1453.84	1942.65	1827.26
1933.81	1353.16	87	1.#QNAN	0	0	0	5.10836e-007	1450.45	1933.81	1820.28
1924.98	1346.69	88	1.#QNAN	0	0	0	5.16143e-007	1429.03	1924.98	1813.27
1916.34	1340.39	89	1.#QNAN	0	0.016	0	5.05934e-007	1438.84	1916.34	1806.43
1907.76	1334.03	90	1.#QNAN	0	0	0	5.28782e-007	1419.46	1907.76	1799.58
1899.4	1327.85	91	1.#QNAN	0	0	0	5.29121e-007	1420.21	1899.4	1792.92
1891.19	1321.74	92	1.#QNAN	0	0.015	0	5.23406e-007	1419.09	1891.19	1786.37
1882.95	1315.65	93	1.#QNAN	0	0	0	5.3244e-007	1403.94	1882.95	1779.74
1875.08	1309.81	94	1.#QNAN	0	0	0	5.27746e-007	1424.94	1875.08	1773.43
1867.35	1304.1	95	1.#QNAN	0	0.016	0	5.25716e-007	1404.21	1867.35	1767.26
1859.72	1298.42	96	1.#QNAN	0	0	0	5.39126e-007	1396.52	1859.72	1761.13
1852.52	1293	97	1.#QNAN	0	0	0	5.26313e-007	1410.53	1852.52	1755.37
