rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
23557.1	17872.1	0	1.#QNAN	0	0.016	0	3.09803e-011	23557.1	23557.1	4162.21
22187.1	16582	1	1.#QNAN	0	0.015	0	6.38749e-010	21779.8	22187.1	4162.21
21707.5	16085.9	2	1.#QNAN	0	0.016	0	8.73152e-010	21134.8	21707.5	4162.21
21252.4	15676.5	3	1.#QNAN	0	0.015	0	9.58998e-010	20216	21252.4	4162.21
20901.7	15380.6	4	1.#QNAN	0	0.032	0	1.06079e-009	19753.5	20901.7	37734.5
20530.8	15089.6	5	1.#QNAN	0	0.015	0	1.22914e-009	18929.4	20530.8	18929.4
20189.5	14840.9	6	1.#QNAN	0	0.016	0	1.35504e-009	18341.5	20189.5	18557.6
19840.8	14584.7	7	1.#QNAN	0	0.015	0	1.51864e-009	17624.7	19840.8	18197.4
19451.1	14300.7	8	1.#QNAN	0	0.016	0	1.67483e-009	16583.4	19451.1	17755.1
19038.9	13990.4	9	1.#QNAN	0	0.016	0	1.99614e-009	15567.8	19038.9	17280.7
18639.2	13691.3	10	1.#QNAN	0	0.031	0	2.24924e-009	14945.3	18639.2	16854.6
18198.9	13363.9	11	1.#QNAN	0	0.015	0	2.45328e-009	13770.4	18198.9	16369.6
17743.8	13023.2	12	1.#QNAN	0	0.016	0	2.98395e-009	12866.6	17743.8	15876.4
17248.1	12643.1	13	1.#QNAN	0	0.016	0	3.7363e-009	11696.5	17248.1	15333.4
16768.8	12275.4	14	1.#QNAN	0	0.015	0	4.4824e-009	11168.5	16768.8	14827.1
16286.8	11900.3	15	1.#QNAN	0	0.018	0	5.54047e-009	10328.7	16286.8	14326.1
15826.1	11542.4	16	1.#QNAN	0	0.015	0	6.48794e-009	9953.93	15826.1	13860.6
15372.1	11192.1	17	1.#QNAN	0	0.032	0	7.09862e-009	9350.49	15372.1	13408.9
14957.5	10871.4	18	1.#QNAN	0	0.015	0	8.08746e-009	9327	14957.5	13012.2
14556.4	10561.1	19	1.#QNAN	0	0.016	0	8.79045e-009	8902.19	14556.4	12633.7
14179	10268.1	20	1.#QNAN	0	0.015	0	9.57915e-009	8701.51	14179	12286
13834.4	9998.71	21	1.#QNAN	0	0.016	0	1.00221e-008	8672.73	13834.4	11977.2
13509.5	9747.94	22	1.#QNAN	0	0.016	0	1.09386e-008	8366.8	13509.5	11690.7
13209.9	9518.18	23	1.#QNAN	0	0.031	0	1.16127e-008	8245.27	13209.9	11432.7
12928	9303.58	24	1.#QNAN	0	0.015	0	1.19509e-008	8025.02	12928	11192.9
12665.5	9101.88	25	1.#QNAN	0	0.016	0	1.26105e-008	7963.97	12665.5	10973.1
12422.9	8916.89	26	1.#QNAN	0	0.016	0	1.26483e-008	7898.6	12422.9	10773.5
12196.4	8743.62	27	1.#QNAN	0	0.015	0	1.37565e-008	7827.77	12196.4	10590
11977.2	8577.75	28	1.#QNAN	0	0.016	0	1.41854e-008	7577.76	11977.2	10411.8
11771.5	8422.53	29	1.#QNAN	0	0.015	0	1.49639e-008	7483.63	11771.5	10246.3
11576.5	8275.65	30	1.#QNAN	0	0.016	0	1.52248e-008	7367.91	11576.5	10090.3
11390.9	8137.14	31	1.#QNAN	0	0.031	0	1.62141e-008	7228	11390.9	9942.27
11211.6	8002.73	32	1.#QNAN	0	0.017	0	1.69613e-008	7016.95	11211.6	9798.62
11042.1	7874.92	33	1.#QNAN	0	0.015	0	1.71628e-008	6969.14	11042.1	9663.58
10876.1	7750.02	34	1.#QNAN	0	0.016	0	1.85258e-008	6750.71	10876.1	9530.66
10718.6	7632.29	35	1.#QNAN	0	0.016	0	1.92389e-008	6664.8	10718.6	9404.96
10568.2	7519.23	36	1.#QNAN	0	0.015	0	2.04356e-008	6619.96	10568.2	9285.19
10424.9	7412.08	37	1.#QNAN	0	0.016	0	2.06608e-008	6557.12	10424.9	9171.56
10286	7308.8	38	1.#QNAN	0	0.015	0	2.18289e-008	6336.92	10286	9060.71
10151.4	7210.15	39	1.#QNAN	0	0.032	0	2.26381e-008	6267.37	10151.4	8953.48
10025.6	7117.05	40	1.#QNAN	0	0.015	0	2.4349e-008	6293.89	10025.6	8854.24
9902.58	7026.47	41	1.#QNAN	0	0.016	0	2.44772e-008	6155.54	9902.58	8756.77
9783.51	6938.06	42	1.#QNAN	0	0.015	0	2.53668e-008	5998.29	9783.51	8661.96
9670.71	6854.03	43	1.#QNAN	0	0.016	0	2.6196e-008	6032.47	9670.71	8572.97
9559.07	6771.78	44	1.#QNAN	0	0.016	0	2.69757e-008	5821.03	9559.07	8483.73
9451.18	6691.85	45	1.#QNAN	0	0.015	0	2.90618e-008	5760.33	9451.18	8397.28
9344.34	6612.46	46	1.#QNAN	0	0.016	0	2.9477e-008	5635.85	9344.34	8311.2
9239.28	6534.72	47	1.#QNAN	0	0.015	0	3.06963e-008	5474.93	9239.28	8225.96
9139.13	6461	48	1.#QNAN	0	0.032	0	3.15327e-008	5494.7	9139.13	8145.26
9041.85	6390.02	49	1.#QNAN	0	0.015	0	3.17786e-008	5437.76	9041.85	8066.89
8947.22	6321.01	50	1.#QNAN	0	0.016	0	3.30002e-008	5416.91	8947.22	7990.58
8856.99	6254.86	51	1.#QNAN	0	0.015	0	3.44526e-008	5431.24	8856.99	7917.96
8768.41	6190	52	1.#QNAN	0	0.016	0	3.65728e-008	5303.94	8768.41	7846.21
8683.13	6127.3	53	1.#QNAN	0	0.016	0	3.64375e-008	5232.14	8683.13	7777.28
8598.48	6065.87	54	1.#QNAN	0	0.015	0	3.81363e-008	5074.07	8598.48	7708.11
8517.49	6007.12	55	1.#QNAN	0	0.031	1	3.96647e-008	5109.68	8517.49	7642.24
8436.24	5948.13	56	1.#QNAN	0	0.016	0	4.02042e-008	4929.51	8436.24	7575.59
8358.17	5891.71	57	1.#QNAN	0	0.016	0	4.37608e-008	4949.8	8358.17	7511.72
8282	5836.07	58	1.#QNAN	0	0.015	0	4.35206e-008	4912.53	8282	7449.42
8207.56	5781.29	59	1.#QNAN	0	0.016	0	4.55329e-008	4862.58	8207.56	7388.34
8136.13	5729.04	60	1.#QNAN	0	0.015	0	4.56466e-008	4869.67	8136.13	7330.02
8066	5678.18	61	1.#QNAN	0	0.016	0	4.85219e-008	4912.29	8066	7272.7
7997.36	5628.62	62	1.#QNAN	0	0.016	0	5.05767e-008	4797.18	7997.36	7216.61
7930.75	5579.92	63	1.#QNAN	0	0.031	0	5.12112e-008	4773.95	7930.75	7162.07
7865.14	5531.67	64	1.#QNAN	0	0.015	0	5.41435e-008	4741.7	7865.14	7108.3
7801.02	5484.42	65	1.#QNAN	0	0.016	0	5.70023e-008	4676.43	7801.02	7055.71
7737.61	5438.47	66	1.#QNAN	0	0.017	0	5.69865e-008	4554.27	7737.61	7003.29
7676.2	5393.31	67	1.#QNAN	0	0.015	0	5.80976e-008	4511.6	7676.2	6952.58
7615.56	5349.1	68	1.#QNAN	0	0.016	0	6.13239e-008	4422.23	7615.56	6902.31
7555.93	5305.85	69	1.#QNAN	0	0.015	0	6.2904e-008	4456.52	7555.93	6852.77
7497.98	5263.68	70	1.#QNAN	0	0.016	0	6.52083e-008	4404.78	7497.98	6804.82
7439.78	5221.75	71	1.#QNAN	0	0.016	0	7.09506e-008	4237.94	7439.78	6756.16
7383.4	5181.38	72	1.#QNAN	0	0.015	0	7.00086e-008	4208.77	7383.4	6708.96
7328.28	5141.87	73	1.#QNAN	0	0.031	0	7.04271e-008	4214.83	7328.28	6662.97
7274.05	5102.9	74	1.#QNAN	0	0.016	0	7.58028e-008	4168.84	7274.05	6617.6
7221.19	5064.96	75	1.#QNAN	0	0.016	0	7.37197e-008	4169.33	7221.19	6573.45
7169	5027.54	76	1.#QNAN	0	0.015	0	7.71689e-008	4131.12	7169	6529.82
7118.2	4991.01	77	1.#QNAN	0	0.016	0	8.24845e-008	4131.82	7118.2	6487.38
7068.59	4955.36	78	1.#QNAN	0	0.015	0	8.14368e-008	4094.13	7068.59	6445.88
7018.96	4919.58	79	1.#QNAN	0	0.016	0	8.60196e-008	3996.75	7018.96	6404.18
6970.93	4884.84	80	1.#QNAN	0	0.016	0	8.81409e-008	3983.12	6970.93	6363.91
6923.67	4850.81	81	1.#QNAN	0	0.031	0	9.15714e-008	3978.86	6923.67	6324.27
6877.51	4817.54	82	1.#QNAN	0	0.015	0	8.93372e-008	4053.62	6877.51	6285.44
6831.81	4785.03	83	1.#QNAN	0	0.016	0	9.5704e-008	4015.21	6831.81	6246.95
6786.75	4752.78	84	1.#QNAN	0	0.016	0	9.7938e-008	3834.13	6786.75	6208.9
6742.47	4720.93	85	1.#QNAN	0	0.015	0	9.88168e-008	3854.8	6742.47	6171.42
6698.75	4689.24	86	1.#QNAN	0	0.016	0	1.02602e-007	3782.33	6698.75	6134.41
6655.92	4658.37	87	1.#QNAN	0	0.015	0	1.04635e-007	3877.95	6655.92	6098.17
6613.7	4627.72	88	1.#QNAN	0	0.016	0	1.12639e-007	3748.5	6613.7	6062.43
6571.33	4596.99	89	1.#QNAN	0	0.031	0	1.13793e-007	3625.85	6571.33	6026.3
6530	4566.91	90	1.#QNAN	0	0.016	0	1.09983e-007	3711.89	6530	5991.16
6489.14	4537.27	91	1.#QNAN	0	0.015	0	1.19617e-007	3636.63	6489.14	5956.38
6448.64	4507.87	92	1.#QNAN	0	0.016	0	1.25542e-007	3515.63	6448.64	5921.72
