rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
4032.41	3181.72	0	1.#QNAN	0	0	0	2.24208e-009	4032.41	4032.41	4162.21
3900.53	3079.93	1	1.#QNAN	0	0.016	0	3.98577e-008	3931.72	3900.53	4162.21
3848.16	3038.19	2	1.#QNAN	0	0.015	0	5.04662e-008	3822.62	3848.16	4162.21
3746.36	2957.68	3	1.#QNAN	0	0	0	5.37237e-008	3499.8	3746.36	4162.21
3659.96	2887.25	4	1.#QNAN	0	0.016	0	6.21292e-008	3385.49	3659.96	37734.5
3530.18	2788.2	5	1.#QNAN	0	0	0	7.15552e-008	3032.7	3530.18	3032.7
3378.59	2666.48	6	1.#QNAN	0	0.015	0	8.75659e-008	2784.81	3378.59	2865.28
3225.09	2538.56	7	1.#QNAN	0	0	0	1.0792e-007	2765.73	3225.09	2760.48
3103.32	2433.9	8	1.#QNAN	0	0.016	0	1.2971e-007	2869.44	3103.32	2723.17
3005.46	2346.68	9	1.#QNAN	0	0.016	0	1.41312e-007	2856.23	3005.46	2704.66
2931.09	2280.35	10	1.#QNAN	0	0	0	1.49637e-007	2739.57	2931.09	2684.94
2870.46	2226.24	11	1.#QNAN	0	0.015	0	1.58259e-007	2690.8	2870.46	2665.38
2815.8	2177.29	12	1.#QNAN	0	0	0	1.65555e-007	2683.7	2815.8	2648.43
2772.38	2135.52	13	1.#QNAN	0	0.016	0	1.73233e-007	2698.96	2772.38	2636.15
2732.92	2096.14	14	1.#QNAN	0	0.015	0	1.8313e-007	2523.4	2732.92	2613.31
2692.66	2057.73	15	1.#QNAN	0	0	0	1.9157e-007	2437.86	2692.66	2583.75
2654.85	2021.86	16	1.#QNAN	0	0.016	0	1.9631e-007	2425.19	2654.85	2555.81
2622.58	1988.76	17	1.#QNAN	0	0.016	0	2.0084e-007	2435.72	2622.58	2534.96
2592.43	1957.85	18	1.#QNAN	0	0	0	2.09513e-007	2349.53	2592.43	2510.99
2563.11	1928.24	19	1.#QNAN	0	0.015	0	2.10927e-007	2328.66	2563.11	2485.98
2536.15	1900.88	20	1.#QNAN	0	0	0	2.25547e-007	2311.16	2536.15	2464.75
2512.19	1874.89	21	1.#QNAN	0	0.016	0	2.49215e-007	2326.48	2512.19	2447.6
2489.98	1849.75	22	1.#QNAN	0	0.015	0	2.46544e-007	2337.82	2489.98	2430.43
2468.14	1825.89	23	1.#QNAN	0	0	0	2.46844e-007	2265.3	2468.14	2413.87
2448.37	1803.94	24	1.#QNAN	0	0.016	0	2.58637e-007	2292.7	2448.37	2398.9
2426.72	1781.76	25	1.#QNAN	0	0	0	2.80895e-007	2195.15	2426.72	2379.77
2405.49	1760.27	26	1.#QNAN	0	0.016	0	2.77569e-007	2131.26	2405.49	2360.44
2386.44	1740.6	27	1.#QNAN	0	0.015	0	2.82796e-007	2118.6	2386.44	2343.19
2367.46	1722.81	28	1.#QNAN	0	0	0	2.98355e-007	2098.48	2367.46	2326.36
2349.37	1705.02	29	1.#QNAN	0	0.016	0	3.13541e-007	2103.44	2349.37	2310.44
2330.63	1687.75	30	1.#QNAN	0	0	0	3.11925e-007	2054.34	2330.63	2293
2312.42	1670.44	31	1.#QNAN	0	0.015	0	3.217e-007	2011.16	2312.42	2275.83
2295.89	1655.21	32	1.#QNAN	0	0.016	0	3.35438e-007	2034.57	2295.89	2260.59
2278.12	1640.22	33	1.#QNAN	0	0	0	3.37509e-007	1914.74	2278.12	2243.2
2262.49	1626.05	34	1.#QNAN	0	0.016	0	3.47225e-007	1964.23	2262.49	2228.63
2245.94	1611.7	35	1.#QNAN	0	0	0	3.57526e-007	1894.4	2245.94	2212.16
2230.93	1598.26	36	1.#QNAN	0	0.015	0	3.60396e-007	1888.68	2230.93	2197.65
2215.17	1584.89	37	1.#QNAN	0	0	0	3.72623e-007	1866.28	2215.17	2182.08
2201.03	1572.2	38	1.#QNAN	0	0.016	0	3.84194e-007	1881.53	2201.03	2168.22
2187.92	1560.54	39	1.#QNAN	0	0.015	0	3.77915e-007	1870.96	2187.92	2155.48
2174.9	1548.97	40	1.#QNAN	0	0	0	4.05391e-007	1851.88	2174.9	2143.09
2160.82	1537.43	41	1.#QNAN	0	0.016	0	3.7982e-007	1798.56	2160.82	2128.88
2146.84	1525.97	42	1.#QNAN	0	0	0	4.06877e-007	1760.29	2146.84	2114.82
2133.79	1515.28	43	1.#QNAN	0	0.016	0	4.10137e-007	1776.24	2133.79	2101.82
2121.12	1504.79	44	1.#QNAN	0	0	0	4.33869e-007	1748.32	2121.12	2089.21
2108.53	1494.53	45	1.#QNAN	0	0.015	0	4.29667e-007	1725.61	2108.53	2076.78
2096.69	1484.66	46	1.#QNAN	0	0.016	0	4.40893e-007	1751.53	2096.69	2065.23
2085.62	1475.38	47	1.#QNAN	0	0	0	4.35996e-007	1741.39	2085.62	2054.31
2074.42	1466.58	48	1.#QNAN	0	0.015	0	4.46328e-007	1735.87	2074.42	2043.17
2063.6	1457.53	49	1.#QNAN	0	0	0	4.53714e-007	1741.85	2063.6	2032.68
2052.89	1448.75	50	1.#QNAN	0	0.016	0	4.37258e-007	1732.51	2052.89	2022.18
2043.4	1440.64	51	1.#QNAN	0	0.016	0	4.57134e-007	1769.32	2043.4	2013.17
2033.9	1432.84	52	1.#QNAN	0	0	0	4.65959e-007	1752.66	2033.9	2003.95
2024.67	1425.19	53	1.#QNAN	0	0.015	0	4.85787e-007	1754.07	2024.67	1995.1
2015.56	1417.62	54	1.#QNAN	0	0	0	4.99102e-007	1752.06	2015.56	1986.4
2005.73	1409.6	55	1.#QNAN	0	0.016	0	4.75268e-007	1659.71	2005.73	1976.68
1995.81	1402.03	56	1.#QNAN	0	0	0	4.94444e-007	1652.14	1995.81	1966.8
1987.2	1395.16	57	1.#QNAN	0	0.015	0	4.69458e-007	1722.4	1987.2	1958.55
1978.9	1388.29	58	1.#QNAN	0	0.016	0	5.02878e-007	1733.93	1978.9	1950.62
1970.77	1381.59	59	1.#QNAN	0	0	0	4.82762e-007	1705.22	1970.77	1942.8
1962.57	1374.93	60	1.#QNAN	0	0.016	0	5.07083e-007	1703.24	1962.57	1934.85
1954.92	1368.24	61	1.#QNAN	0	0	0	5.33235e-007	1719.67	1954.92	1927.66
1947.38	1361.71	62	1.#QNAN	0	0.015	1	5.24749e-007	1704.09	1947.38	1920.53
1939.76	1355.36	63	1.#QNAN	0	0	0	5.42075e-007	1690.14	1939.76	1913.27
1933.16	1349.21	64	1.#QNAN	0	0.016	0	5.46408e-007	1754.71	1933.16	1907.34
1926.33	1343.09	65	1.#QNAN	0	0.015	0	5.34372e-007	1730.78	1926.33	1901.03
1919.07	1336.91	66	1.#QNAN	0	0	0	5.38692e-007	1676.7	1919.07	1894.15
1912.26	1331.11	67	1.#QNAN	0	0.016	0	5.34589e-007	1685.2	1912.26	1887.65
1905.52	1325.17	68	1.#QNAN	0	0	0	5.4658e-007	1644.58	1905.52	1881.22
1899.43	1319.6	69	1.#QNAN	0	0.016	0	5.48192e-007	1703.87	1899.43	1875.61
1893.05	1314.15	70	1.#QNAN	0	0	0	5.51504e-007	1680.56	1893.05	1869.58
1886.96	1308.82	71	1.#QNAN	0	0.015	0	5.64164e-007	1680.77	1886.96	1863.85
1881.69	1303.75	72	1.#QNAN	0	0.016	0	5.69925e-007	1745.6	1881.69	1859.07
1875.9	1298.69	73	1.#QNAN	0	0	0	5.83355e-007	1649.08	1875.9	1853.63
1869.92	1293.33	74	1.#QNAN	0	0.015	0	5.63545e-007	1636.29	1869.92	1847.92
1864.49	1288.58	75	1.#QNAN	0	0	0	5.79681e-007	1669.16	1864.49	1842.76
1858.57	1283.68	76	1.#QNAN	0	0.016	0	5.85857e-007	1607.6	1858.57	1837.03
1853.02	1279.01	77	1.#QNAN	0	0	0	5.69052e-007	1651.26	1853.02	1831.77
1847.3	1274.17	78	1.#QNAN	0	0.016	0	5.77876e-007	1604.24	1847.3	1826.31
1841.47	1269.31	79	1.#QNAN	0	0.015	0	5.7566e-007	1584.07	1841.47	1820.76
1835.85	1264.54	80	1.#QNAN	0	0	0	5.79159e-007	1571.57	1835.85	1815.4
1830.3	1259.78	81	1.#QNAN	0	0.016	0	5.91312e-007	1576.07	1830.3	1810.13
1824.73	1255.2	82	1.#QNAN	0	0	0	5.99014e-007	1554.05	1824.73	1804.79
