rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
13652.9	8566.35	0	1.#QNAN	0	0	0	3.93473e-011	13652.9	13652.9	3999.82
13229.3	8209.65	1	1.#QNAN	0	0	0	7.92651e-010	13479.3	13229.3	3999.82
13084.8	8067.28	2	1.#QNAN	0	0	0	9.57894e-010	13140.9	13084.8	3999.82
12948.9	7951.51	3	1.#QNAN	0	0.016	0	1.11233e-009	12878.1	12948.9	3999.82
12873.3	7893.72	4	1.#QNAN	0	0	0	1.20726e-009	12878.9	12873.3	37739.9
12750.8	7804.03	5	1.#QNAN	0	0	0	1.29625e-009	12304.5	12750.8	12304.5
12643.8	7746.1	6	1.#QNAN	0	0.015	0	1.42379e-009	12184.7	12643.8	12177
12516.8	7657.12	7	1.#QNAN	0	0	0	1.63059e-009	11791.5	12516.8	12019.2
12428.9	7611.9	8	1.#QNAN	0	0	0	1.83278e-009	11972.5	12428.9	11968.6
12318.8	7534.06	9	1.#QNAN	0	0.016	0	2.04273e-009	11537.3	12318.8	11852.7
12183.4	7445.54	10	1.#QNAN	0	0	0	2.12433e-009	11049.4	12183.4	11688.8
12036.2	7350.83	11	1.#QNAN	0	0	0	2.39792e-009	10667	12036.2	11517.1
11896.5	7263.29	12	1.#QNAN	0	0.015	0	2.63042e-009	10494.4	11896.5	11365.5
11743.1	7165.96	13	1.#QNAN	0	0	0	2.98117e-009	10051.3	11743.1	11195.4
11591.5	7073.74	14	1.#QNAN	0	0	0	3.19301e-009	9846.44	11591.5	11030.2
11451.2	6980.78	15	1.#QNAN	0	0	0	3.56759e-009	9747.87	11451.2	10885.9
11296.4	6880.43	16	1.#QNAN	0	0.016	0	3.86204e-009	9307.57	11296.4	10723.1
11153.9	6793.35	17	1.#QNAN	0	0	0	4.37346e-009	9139.49	11153.9	10578
11017.3	6708.68	18	1.#QNAN	0	0	0	4.74131e-009	8905.76	11017.3	10440.1
10879.6	6629.29	19	1.#QNAN	0	0.016	0	5.26107e-009	8666.08	10879.6	10301.9
10748.3	6553.19	20	1.#QNAN	0	0	0	5.55163e-009	8449.42	10748.3	10171.5
10606.3	6468.65	21	1.#QNAN	0	0	0	6.33499e-009	7968.91	10606.3	10027.3
10463.3	6384.28	22	1.#QNAN	0	0.015	0	6.86812e-009	7687.18	10463.3	9881.9
10324.3	6302.04	23	1.#QNAN	0	0	0	7.75442e-009	7526.4	10324.3	9742.11
10182.3	6219.43	24	1.#QNAN	0	0	0	8.6184e-009	7197.59	10182.3	9598.62
10048	6142.25	25	1.#QNAN	0	0	0	9.65217e-009	7068.94	10048	9464.47
9907.6	6063.6	26	1.#QNAN	0	0.016	0	1.08868e-008	6635.1	9907.6	9322.71
9771.13	5987.28	27	1.#QNAN	0	0	0	1.18985e-008	6463.64	9771.13	9185.44
9625.3	5904.79	28	1.#QNAN	0	0	0	1.34456e-008	5942.96	9625.3	9037.1
9484.14	5825.42	29	1.#QNAN	0	0.015	0	1.64306e-008	5802.45	9484.14	8894.66
9341.71	5746.46	30	1.#QNAN	0	0	0	1.84474e-008	5474.92	9341.71	8750.54
9194.25	5664.72	31	1.#QNAN	0	0	0	2.12984e-008	5033.38	9194.25	8600.58
9051.98	5585.72	32	1.#QNAN	0	0	0	2.47997e-008	4901	9051.98	8456.82
8904.49	5504.1	33	1.#QNAN	0	0.016	0	2.9515e-008	4498.47	8904.49	8307.2
8758.28	5423.09	34	1.#QNAN	0	0	0	3.20405e-008	4236.51	8758.28	8158.94
8614.31	5343.13	35	1.#QNAN	0	0	0	3.89617e-008	4023.07	8614.31	8013.35
8473.04	5264.92	36	1.#QNAN	0	0.016	0	4.44664e-008	3880.14	8473.04	7870.92
8335.6	5188.65	37	1.#QNAN	0	0	0	5.13178e-008	3716.19	8335.6	7733.05
8198.97	5113.05	38	1.#QNAN	0	0	0	5.56706e-008	3500.18	8198.97	7596.06
8064.67	5038.19	39	1.#QNAN	0	0.015	0	6.55106e-008	3362.71	8064.67	7461.81
7933.03	4963.72	40	1.#QNAN	0	0	0	7.73352e-008	3238.57	7933.03	7330.5
7802.59	4890.67	41	1.#QNAN	0	0	0	8.56788e-008	3018.02	7802.59	7200.53
7676.32	4819.58	42	1.#QNAN	0	0.016	0	9.6032e-008	2933.37	7676.32	7075.18
7552.9	4749.93	43	1.#QNAN	0	0	0	1.07123e-007	2827.54	7552.9	6953.01
7432.76	4681.7	44	1.#QNAN	0	0	0	1.15449e-007	2739.77	7432.76	6834.35
7314.48	4614.35	45	1.#QNAN	0	0	0	1.32976e-007	2671.69	7314.48	6717.88
7198.88	4548.34	46	1.#QNAN	0	0.015	0	1.40112e-007	2547.41	7198.88	6604.25
7086.58	4484	47	1.#QNAN	0	0	0	1.52746e-007	2468.11	7086.58	6494.19
6977.39	4421.05	48	1.#QNAN	0	0	0	1.70939e-007	2432.75	6977.39	6387.54
6870.4	4358.96	49	1.#QNAN	0	0.016	0	1.83508e-007	2328.72	6870.4	6283.17
6765.86	4297.89	50	1.#QNAN	0	0	0	1.94011e-007	2286.61	6765.86	6181.43
6664.13	4238.26	51	1.#QNAN	0	0	0	2.14987e-007	2259.91	6664.13	6082.74
6565.17	4180.04	52	1.#QNAN	0	0.016	0	2.28819e-007	2198.35	6565.17	5986.89
6467.89	4122.41	53	1.#QNAN	0	0	0	2.41181e-007	2128.18	6467.89	5892.77
6373.81	4066.2	54	1.#QNAN	0	0	0	2.54483e-007	2097.75	6373.81	5802.07
6281.59	4010.76	55	1.#QNAN	0	0	0	2.62673e-007	2051.21	6281.59	5713.28
6191.47	3956.29	56	1.#QNAN	0	0.015	0	3.02966e-007	2022.02	6191.47	5626.69
6103.67	3902.87	57	1.#QNAN	0	0	0	3.1539e-007	1983.08	6103.67	5542.45
6018.43	3850.99	58	1.#QNAN	0	0	0	3.14639e-007	1975.11	6018.43	5460.96
5934.91	3800.28	59	1.#QNAN	0	0.016	0	3.22638e-007	1955.49	5934.91	5381.22
5854.18	3750.61	60	1.#QNAN	0	0	0	3.36856e-007	1928.49	5854.18	5304.33
5775.16	3702.07	61	1.#QNAN	0	0	0	3.63009e-007	1908.41	5775.16	5229.19
5697.97	3654.61	62	1.#QNAN	0	0.015	0	3.74201e-007	1862.85	5697.97	5155.91
5622.73	3608.18	63	1.#QNAN	0	0	0	3.72639e-007	1850.96	5622.73	5084.6
5549.13	3562.7	64	1.#QNAN	0	0	0	3.67855e-007	1866.31	5549.13	5014.98
5477.71	3518.27	65	1.#QNAN	0	0	0	3.75471e-007	1856.67	5477.71	4947.57
5407.96	3474.8	66	1.#QNAN	0	0.016	0	3.92764e-007	1845.11	5407.96	4881.86
5340.33	3432.46	67	1.#QNAN	0	0	0	3.8389e-007	1839.15	5340.33	4818.32
5273.75	3390.94	68	1.#QNAN	0	0	0	3.88351e-007	1817.36	5273.75	4755.82
5209.1	3350.17	69	1.#QNAN	0	0.016	0	4.18883e-007	1807.55	5209.1	4695.26
5146.13	3310.29	70	1.#QNAN	0	0	0	4.06306e-007	1818.99	5146.13	4636.38
5084.68	3271.34	71	1.#QNAN	0	0	0	4.24987e-007	1808.17	5084.68	4579.02
5025.1	3233.53	72	1.#QNAN	0	0.015	0	4.28947e-007	1803.06	5025.1	4523.59
4966.83	3196.68	73	1.#QNAN	0	0	0	4.3748e-007	1774.4	4966.83	4469.44
4910.3	3160.93	74	1.#QNAN	0	0	0	4.38195e-007	1771.4	4910.3	4417.02
4854.92	3125.94	75	1.#QNAN	0	0	0	4.11391e-007	1781.95	4854.92	4365.74
4801.04	3091.87	76	1.#QNAN	0	0.016	0	4.18355e-007	1788	4801.04	4315.96
4748.55	3058.57	77	1.#QNAN	0	0	0	4.41786e-007	1767.96	4748.55	4267.57
4697.38	3026.05	78	1.#QNAN	0	0	0	4.2806e-007	1780.69	4697.38	4220.46
4647.41	2994.3	79	1.#QNAN	0	0.015	0	4.44461e-007	1764.42	4647.41	4174.56
4598.69	2963.44	80	1.#QNAN	0	0	0	4.29309e-007	1776.79	4598.69	4129.89
4551.04	2933.16	81	1.#QNAN	0	0	0	4.49956e-007	1761.87	4551.04	4086.26
4504.46	2903.54	82	1.#QNAN	0	0.016	0	4.60445e-007	1753.41	4504.46	4043.69
4458.89	2874.56	83	1.#QNAN	0	0	0	4.27105e-007	1767.01	4458.89	4002.1
4414.48	2846.2	84	1.#QNAN	0	0	0	4.42604e-007	1759.64	4414.48	3961.63
4371.09	2818.47	85	1.#QNAN	0	0.016	0	4.3616e-007	1757.79	4371.09	3922.17
4328.5	2791.27	86	1.#QNAN	0	0	0	4.56463e-007	1723.15	4328.5	3883.46
4287.19	2764.79	87	1.#QNAN	0	0	0	4.45928e-007	1744.46	4287.19	3846.04
4246.82	2738.85	88	1.#QNAN	0	0	0	4.66439e-007	1749.05	4246.82	3809.53
4207.35	2713.77	89	1.#QNAN	0	0	0	4.46176e-007	1758.97	4207.35	3773.89
4168.69	2689.23	90	1.#QNAN	0	0	0	4.61911e-007	1746.85	4168.69	3739.02
4131.09	2665.14	91	1.#QNAN	0	0	0	4.73757e-007	1738.47	4131.09	3705.19
4094.47	2641.51	92	1.#QNAN	0	0.016	0	4.45259e-007	1741.63	4094.47	3672.3
4058.63	2618.53	93	1.#QNAN	0	0	0	4.59096e-007	1742.02	4058.63	3640.16
4023.13	2595.84	94	1.#QNAN	0	0	0	4.36666e-007	1732.7	4023.13	3608.31
3988.55	2573.55	95	1.#QNAN	0	0.015	0	4.61504e-007	1732.48	3988.55	3577.36
3954.58	2551.76	96	1.#QNAN	0	0	0	4.76701e-007	1730.4	3954.58	3546.96
3921.45	2530.41	97	1.#QNAN	0	0	0	4.6627e-007	1735.84	3921.45	3517.42
3889.3	2509.59	98	1.#QNAN	0	0.016	0	4.56341e-007	1737.46	3889.3	3488.83
3857.63	2489.16	99	1.#QNAN	0	0	0	4.60212e-007	1710.04	3857.63	3460.66
3826.62	2469.14	100	1.#QNAN	0	0	0	4.59995e-007	1724.54	3826.62	3433.13
3796.32	2449.5	101	1.#QNAN	0	0.016	0	4.80333e-007	1707.6	3796.32	3406.25
3766.58	2430.36	102	1.#QNAN	0	0	0	4.74281e-007	1717.98	3766.58	3379.93
3737.43	2411.5	103	1.#QNAN	0	0	0	4.81372e-007	1731.76	3737.43	3354.17
3708.97	2393.13	104	1.#QNAN	0	0.015	0	4.80881e-007	1702.04	3708.97	3329.05
3681.04	2375.06	105	1.#QNAN	0	0	0	4.55111e-007	1709.58	3681.04	3304.43
3653.65	2357.41	106	1.#QNAN	0	0	0	4.92847e-007	1694.08	3653.65	3280.28
3626.9	2340.11	107	1.#QNAN	0	0.016	0	4.73738e-007	1738.17	3626.9	3256.79
3600.5	2323.07	108	1.#QNAN	0	0	0	4.78256e-007	1710	3600.5	3233.61
3574.7	2306.44	109	1.#QNAN	0	0	0	4.76056e-007	1692.66	3574.7	3210.97
3549.53	2290.17	110	1.#QNAN	0	0.015	0	4.93655e-007	1702.43	3549.53	3188.94
3524.86	2274.2	111	1.#QNAN	0	0	0	4.91532e-007	1730.49	3524.86	3167.4
