rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
8367.55	6673.76	0	1.#QNAN	0	0.016	0	5.58491e-010	8367.55	8367.55	4162.21
7317.97	5740.7	1	1.#QNAN	0	0.016	0	1.0054e-008	6577.96	7317.97	4162.21
6968.03	5449.88	2	1.#QNAN	0	0.015	0	1.39511e-008	6412.47	6968.03	4162.21
6705.54	5249.71	3	1.#QNAN	0	0.031	0	1.556e-008	6047.45	6705.54	4162.21
6520.08	5119.29	4	1.#QNAN	0	0.016	0	1.69674e-008	5862.26	6520.08	37734.5
6340.89	4981.66	5	1.#QNAN	0	0.016	0	1.88197e-008	5533.6	6340.89	5533.6
6181.6	4863.63	6	1.#QNAN	0	0.015	0	2.11867e-008	5327.95	6181.6	5401.54
6046.6	4763.81	7	1.#QNAN	0	0.031	0	2.22332e-008	5168.07	6046.6	5308.98
5924.21	4671.66	8	1.#QNAN	0	0.016	0	2.56728e-008	5016.26	5924.21	5224.56
5795.04	4575.08	9	1.#QNAN	0	0.016	0	2.74702e-008	4719.08	5795.04	5112.12
5667.14	4479.64	10	1.#QNAN	0	0.015	0	3.14499e-008	4469	5667.14	4997.34
5546.89	4388.3	11	1.#QNAN	0	0.016	0	3.60812e-008	4304.04	5546.89	4891.04
5424.91	4295.93	12	1.#QNAN	0	0.015	0	3.8425e-008	4082.76	5424.91	4780.77
5297.12	4197.72	13	1.#QNAN	0	0.032	0	4.52185e-008	3776.75	5297.12	4657.69
5164.34	4094.4	14	1.#QNAN	0	0.015	0	5.49621e-008	3485.57	5164.34	4526.31
5028.21	3987.4	15	1.#QNAN	0	0.016	0	6.32918e-008	3260.81	5028.21	4391.52
4892.29	3878.99	16	1.#QNAN	0	0.015	0	8.15736e-008	3056.79	4892.29	4257.51
4752.99	3768.48	17	1.#QNAN	0	0.016	0	9.01541e-008	2901.41	4752.99	4120.26
4617.28	3659.13	18	1.#QNAN	0	0.016	0	1.05881e-007	2811.08	4617.28	3988.55
4487.23	3552.84	19	1.#QNAN	0	0.015	0	1.26e-007	2681.37	4487.23	3864.76
4364.56	3450.59	20	1.#QNAN	0	0.031	1	1.37573e-007	2634.29	4364.56	3750.63
4247.91	3351.8	21	1.#QNAN	0	0.016	0	1.45224e-007	2540.92	4247.91	3643.58
4137.63	3257.8	22	1.#QNAN	0	0.016	0	1.59346e-007	2510.52	4137.63	3544.54
4034.18	3169.81	23	1.#QNAN	0	0.015	0	1.6795e-007	2440.78	4034.18	3453.14
3938.35	3087.62	24	1.#QNAN	0	0.016	0	1.77699e-007	2415.05	3938.35	3370.39
3848.76	3009.9	25	1.#QNAN	0	0.015	0	1.88755e-007	2381.09	3848.76	3294.27
3763.62	2935.73	26	1.#QNAN	0	0.016	0	2.02753e-007	2342.84	3763.62	3222.61
3684.32	2867.08	27	1.#QNAN	0	0.031	0	2.06342e-007	2339.5	3684.32	3157.11
3609.51	2803.76	28	1.#QNAN	0	0.016	0	2.14217e-007	2236.02	3609.51	3095.38
3541.8	2746.76	29	1.#QNAN	0	0.015	0	2.15951e-007	2215.13	3541.8	3041.02
3477.48	2691.73	30	1.#QNAN	0	0.016	0	2.38011e-007	2255.78	3477.48	2989.92
3416.27	2639.33	31	1.#QNAN	0	0.016	0	2.30086e-007	2226.04	3416.27	2941.62
3357.52	2589.34	32	1.#QNAN	0	0.015	0	2.38637e-007	2172.11	3357.52	2895.26
