rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
1771.4	1321.33	0	1.#QNAN	0	0.016	0	5.35109e-008	1771.4	1771.4	3999.82
1505.09	1117.79	1	1.#QNAN	0	0.016	0	2.75134e-007	1476.04	1505.09	3999.82
1456.41	1072.25	2	1.#QNAN	0	0.015	0	4.35587e-007	1457.99	1456.41	3999.82
1440	1055.55	3	1.#QNAN	0	0.016	0	4.52067e-007	1446.42	1440	3999.82
1434.11	1048.12	4	1.#QNAN	0	0.015	0	4.42642e-007	1447.85	1434.11	37739.9
1424.29	1039.41	5	1.#QNAN	0	0.016	0	4.72968e-007	1409.34	1424.29	1409.34
1415.45	1028.83	6	1.#QNAN	0	0	0	4.91852e-007	1389.92	1415.45	1392.15
1406.41	1019.51	7	1.#QNAN	0	0.016	0	4.8146e-007	1370.51	1406.41	1380.05
1396.84	1010.05	8	1.#QNAN	0	0.015	0	4.92466e-007	1356.82	1396.84	1370.06
1387.78	1001.38	9	1.#QNAN	0	0.016	0	5.05213e-007	1351.43	1387.78	1362.43
1379.73	993.374	10	1.#QNAN	0	0.015	0	5.14926e-007	1342.8	1379.73	1355.9
1372.84	985.357	11	1.#QNAN	0	0.016	0	5.12836e-007	1349.43	1372.84	1351.01
1365.68	977.883	12	1.#QNAN	0	0.016	0	5.3744e-007	1342.69	1365.68	1345.58
1359.49	970.534	13	1.#QNAN	0	0	0	5.51138e-007	1333.87	1359.49	1341.05
1352.76	963.213	14	1.#QNAN	0	0.015	0	5.38689e-007	1327.56	1352.76	1335.96
1347.1	956.813	15	1.#QNAN	0	0.016	0	5.37662e-007	1338.34	1347.1	1332.14
1341.92	950.128	16	1.#QNAN	0	0.015	0	5.69034e-007	1329.28	1341.92	1328.57
1337.69	944.492	17	1.#QNAN	0	0.016	0	5.36905e-007	1344.34	1337.69	1326.37
1333.96	939.74	18	1.#QNAN	0	0.016	0	5.52888e-007	1340.76	1333.96	1324.34
1331.34	934.951	19	1.#QNAN	0	0.015	0	5.43592e-007	1355.18	1331.34	1323.51
1328.74	931.888	20	1.#QNAN	0	0	0	5.37333e-007	1359.19	1328.74	1322.6
1326.82	929.106	21	1.#QNAN	0	0.016	0	5.49706e-007	1368.37	1326.82	1322.45
1324.87	926.533	22	1.#QNAN	0	0.015	0	5.74575e-007	1359.79	1324.87	1321.88
1323.7	924.317	23	1.#QNAN	0	0.016	0	5.6761e-007	1356.64	1323.7	1321.97
1322.28	922.77	24	1.#QNAN	0	0.016	0	5.51545e-007	1355.32	1322.28	1321.46
1321.15	921.196	25	1.#QNAN	0	0.015	0	5.6552e-007	1354.8	1321.15	1321.37
1320.61	919.5	26	1.#QNAN	0	0.016	0	5.60149e-007	1361.8	1320.61	1321.77
1319.59	917.892	27	1.#QNAN	0	0	0	5.94035e-007	1347.6	1319.59	1321.46
1319.2	916.095	28	1.#QNAN	0	0.015	0	5.89005e-007	1373.93	1319.2	1321.95
1318.76	914.643	29	1.#QNAN	0	0.016	0	5.96538e-007	1374.17	1318.76	1322.31
1318.13	912.992	30	1.#QNAN	0	0.016	0	5.89866e-007	1378.77	1318.13	1322.32
1317.65	911.64	31	1.#QNAN	0	0.015	0	5.96658e-007	1393.61	1317.65	1322.59
1316.87	910.104	32	1.#QNAN	0	0.016	0	6.1718e-007	1390.04	1316.87	1322.43
1316.29	908.224	33	1.#QNAN	0	0.015	0	6.20476e-007	1411.55	1316.29	1322.55
1315.17	905.884	34	1.#QNAN	0	0.016	0	6.31851e-007	1401.64	1315.17	1321.95
1314.12	903.684	35	1.#QNAN	0	0.016	0	6.5967e-007	1401.89	1314.12	1321.4
1313.32	901.903	36	1.#QNAN	0	0	0	6.14716e-007	1433.11	1313.32	1321.13
1311.2	899.486	37	1.#QNAN	0	0.015	0	6.42096e-007	1357.39	1311.2	1319.03
1309.38	897.443	38	1.#QNAN	0	0.016	0	6.59936e-007	1364.39	1309.38	1317.27
1308.39	895.383	39	1.#QNAN	0	0.015	0	6.58634e-007	1425.58	1308.39	1316.53
1306.98	893.382	40	1.#QNAN	0	0.016	0	6.42357e-007	1370.89	1306.98	1315.26
1306	891.776	41	1.#QNAN	0	0.016	0	6.56456e-007	1402.43	1306	1314.43
1304.84	890.115	42	1.#QNAN	0	0	0	6.59881e-007	1391.34	1304.84	1313.34
1303.13	888.334	43	1.#QNAN	0	0.015	0	6.63452e-007	1344.74	1303.13	1311.49
1301.59	886.884	44	1.#QNAN	0	0.016	0	6.5812e-007	1328.19	1301.59	1309.8
1300.96	885.52	45	1.#QNAN	0	0.015	0	6.59534e-007	1361.07	1300.96	1309.24
1299.79	883.954	46	1.#QNAN	0	0.016	0	6.76601e-007	1333.8	1299.79	1308.03
1299.18	883.003	47	1.#QNAN	0	0.016	0	6.66164e-007	1343.59	1299.18	1307.44
1298.23	881.711	48	1.#QNAN	0	0.015	0	6.50646e-007	1310.55	1298.23	1306.39
1297.21	880.669	49	1.#QNAN	0	0	0	6.72998e-007	1322.99	1297.21	1305.27
1296.89	879.795	50	1.#QNAN	0	0.016	0	6.40385e-007	1374.57	1296.89	1305.03
1296.4	878.755	51	1.#QNAN	0	0.015	0	6.55123e-007	1352.19	1296.4	1304.57
1295.93	877.681	52	1.#QNAN	0	0.016	0	6.70351e-007	1336.96	1295.93	1304.11
1295.68	876.89	53	1.#QNAN	0	0.016	0	6.62154e-007	1362.45	1295.68	1303.9
1295.31	876.125	54	1.#QNAN	0	0.015	0	6.70388e-007	1346.37	1295.31	1303.53
1295.17	875.514	55	1.#QNAN	0	0.016	0	6.62484e-007	1340.05	1295.17	1303.34
1295.42	874.767	56	1.#QNAN	0	0.015	0	6.4297e-007	1389.83	1295.42	1303.68
1295.66	874.343	57	1.#QNAN	0	0	0	6.76226e-007	1352.85	1295.66	1303.95
1295.48	873.878	58	1.#QNAN	0	0.016	0	6.816e-007	1342.43	1295.48	1303.77
1295.18	873.055	59	1.#QNAN	0	0.016	0	6.86399e-007	1345.64	1295.18	1303.49
1295.67	872.8	60	1.#QNAN	0	0.015	0	6.64815e-007	1400.57	1295.67	1304.06
1295.8	872.375	61	1.#QNAN	0	0.016	0	6.85553e-007	1365.86	1295.8	1304.22
1296.11	871.84	62	1.#QNAN	0	0.015	0	6.71328e-007	1396.01	1296.11	1304.59
1296.06	871.393	63	1.#QNAN	0	0	0	6.76031e-007	1359.24	1296.06	1304.54
1296.22	871.223	64	1.#QNAN	0	0.016	0	6.60364e-007	1367.08	1296.22	1304.71
1296.35	870.87	65	1.#QNAN	0	0.016	0	6.81022e-007	1366.92	1296.35	1304.85
1296.07	870.38	66	1.#QNAN	0	0.015	1	6.74407e-007	1336.44	1296.07	1304.51
1295.73	870.014	67	1.#QNAN	0	0.016	0	6.78448e-007	1325.29	1295.73	1304.09
1295.86	869.638	68	1.#QNAN	0	0.015	0	6.83835e-007	1362.95	1295.86	1304.2
1296.05	869.34	69	1.#QNAN	0	0.016	0	6.93002e-007	1372.64	1296.05	1304.4
1295.9	868.892	70	1.#QNAN	0	0	0	6.38691e-007	1337.25	1295.9	1304.22
1295.87	868.431	71	1.#QNAN	0	0.016	0	6.66423e-007	1336.36	1295.87	1304.16
1296.08	867.994	72	1.#QNAN	0	0.015	0	6.59677e-007	1368.2	1296.08	1304.4
1296.26	867.751	73	1.#QNAN	0	0.016	0	6.55865e-007	1363.57	1296.26	1304.61
1296.07	867.311	74	1.#QNAN	0	0.015	0	6.74024e-007	1329.42	1296.07	1304.38
