rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
5658.41	3521.4	0	1.#QNAN	0	0.032	0	7.88883e-010	5658.41	5658.41	4287.87
5342.61	3331.17	1	1.#QNAN	0	0.015	0	1.63537e-008	5204.27	5342.61	4287.87
5248.92	3280.78	2	1.#QNAN	0	0.016	0	1.84869e-008	5135.52	5248.92	4287.87
5137.85	3217.71	3	1.#QNAN	0	0.015	0	2.17408e-008	4880.23	5137.85	4287.87
5034.67	3167.43	4	1.#QNAN	0	0.016	0	2.34718e-008	4672.88	5034.67	37538.7
4904.82	3103.81	5	1.#QNAN	0	0.031	0	2.6197e-008	4333.55	4904.82	4333.55
4753.48	3027.17	6	1.#QNAN	0	0.016	0	3.30114e-008	3954.11	4753.48	4119.22
4606.11	2952.69	7	1.#QNAN	0	0.015	0	3.87204e-008	3722.45	4606.11	3964.8
4462.04	2878.55	8	1.#QNAN	0	0.016	0	4.68734e-008	3492	4462.04	3828.3
4322.85	2806.26	9	1.#QNAN	0	0.031	0	5.97833e-008	3328.37	4322.85	3704.3
4189.92	2734.18	10	1.#QNAN	0	0.016	1	6.55155e-008	3162.05	4189.92	3591.64
4068.11	2666.75	11	1.#QNAN	0	0.015	0	7.60677e-008	3057.71	4068.11	3493.22
3952.81	2604.73	12	1.#QNAN	0	0.016	0	8.1617e-008	2955.9	3952.81	3402.74
3843.11	2543.47	13	1.#QNAN	0	0.016	0	9.5001e-008	2839.78	3843.11	3317.4
3739.39	2484.96	14	1.#QNAN	0	0.031	0	1.04427e-007	2752.63	3739.39	3237.69
3641.39	2426.86	15	1.#QNAN	0	0.015	0	1.13465e-007	2670.95	3641.39	3163.06
3549.79	2372.65	16	1.#QNAN	0	0.016	0	1.22127e-007	2630.75	3549.79	3094.64
3464.21	2320.98	17	1.#QNAN	0	0.016	0	1.33705e-007	2583.95	3464.21	3031.87
3387.51	2274.92	18	1.#QNAN	0	0.015	0	1.42105e-007	2566.71	3387.51	2977.5
3315.76	2230.48	19	1.#QNAN	0	0.016	0	1.4589e-007	2553.91	3315.76	2927.84
3250.86	2189.24	20	1.#QNAN	0	0.015	0	1.56308e-007	2563.36	3250.86	2884.73
3188.33	2150.35	21	1.#QNAN	0	0.032	0	1.65677e-007	2468.03	3188.33	2841.3
3130.48	2113.78	22	1.#QNAN	0	0.015	0	1.70196e-007	2454.91	3130.48	2801.9
3078.22	2080.68	23	1.#QNAN	0	0.016	0	1.7274e-007	2416.62	3078.22	2766.39
3027.99	2048.9	24	1.#QNAN	0	0.015	0	1.78942e-007	2375.19	3027.99	2731.97
2983.69	2020.63	25	1.#QNAN	0	0.016	0	1.82601e-007	2369.74	2983.69	2702.43
2940.77	1993.33	26	1.#QNAN	0	0.016	0	1.89106e-007	2307.46	2940.77	2672.74
2901.15	1968.55	27	1.#QNAN	0	0.015	0	2.01017e-007	2261.44	2901.15	2644.84
2864.07	1944.92	28	1.#QNAN	0	0.016	0	2.13831e-007	2253.05	2864.07	2619.12
2828.6	1922.19	29	1.#QNAN	0	0.031	0	2.05306e-007	2216.87	2828.6	2593.84
2795.95	1900.27	30	1.#QNAN	0	0.016	0	2.19946e-007	2237.42	2795.95	2571.12
2765.31	1879.76	31	1.#QNAN	0	0.015	0	2.32413e-007	2227.2	2765.31	2549.82
2737.5	1860.63	32	1.#QNAN	0	0.016	0	2.37288e-007	2232.69	2737.5	2530.78
2709.82	1842.36	33	1.#QNAN	0	0.015	0	2.44758e-007	2178.78	2709.82	2511.15
2683.3	1824.77	34	1.#QNAN	0	0.032	0	2.53641e-007	2142.21	2683.3	2492.19
2657.73	1808.01	35	1.#QNAN	0	0.015	0	2.55509e-007	2130.8	2657.73	2473.79
2633.75	1792.17	36	1.#QNAN	0	0.016	0	2.58395e-007	2145.85	2633.75	2456.87
2610.21	1776.42	37	1.#QNAN	0	0.015	0	2.69154e-007	2121.03	2610.21	2440.02
2587.55	1761.41	38	1.#QNAN	0	0.016	0	2.74629e-007	2095.34	2587.55	2423.57
2566.03	1747.13	39	1.#QNAN	0	0.016	0	2.86995e-007	2079.75	2566.03	2407.8
2544.77	1733.23	40	1.#QNAN	0	0.015	0	2.82298e-007	2027.1	2544.77	2391.61
2525.39	1720.2	41	1.#QNAN	0	0.016	0	2.96097e-007	2072.35	2525.39	2377.55
